Issue Key,Tipo de Problema,Rework Score,Reopen Count,Backward Moves,QA Returns,Revisitas Status,Conformance Score,Conforme Basico,Lead Time Fluxo (dias),Done Final Author,Done Final Date,Variant
W1NNR-928,Tarefa,0,0,0,0,0,0.6667,Nao,13.8729,Lorraine Caribe,2025-06-02 17:36:41,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-929,Tarefa,0,0,0,0,0,0.6667,Nao,11.979,Lorraine Caribe,2025-06-02 17:36:41,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-930,Tarefa,0,0,0,0,0,0.6667,Nao,104.5161,Lara Junqueira Alvarenga,2025-09-03 14:26:58,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-931,Tarefa,0,0,0,0,0,0.6667,Nao,103.7409,Lara Junqueira Alvarenga,2025-09-03 14:27:00,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-932,Tarefa,0,0,0,0,0,0.6667,Nao,102.758,Lara Junqueira Alvarenga,2025-09-03 14:25:53,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-933,Tarefa,0,0,0,0,0,0.6667,Nao,99.7447,Lara Junqueira Alvarenga,2025-09-03 14:25:51,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-934,Tarefa,0,0,0,0,0,0.6667,Nao,77.8816,Lara Junqueira Alvarenga,2025-09-03 14:27:14,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-935,Tarefa,0,0,0,0,0,0.6667,Nao,98.7632,Lara Junqueira Alvarenga,2025-09-03 14:25:57,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-936,Tarefa,0,0,0,0,0,0.6667,Nao,98.8433,Lara Junqueira Alvarenga,2025-09-03 14:26:47,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-937,Tarefa,0,0,0,0,0,0.6667,Nao,98.8368,Lara Junqueira Alvarenga,2025-09-03 14:26:57,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-938,Tarefa,0,0,0,0,0,0.6667,Nao,97.8294,Lara Junqueira Alvarenga,2025-09-03 14:26:57,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
W1NNR-939,Tarefa,0,0,0,0,0,0.6667,Nao,42.037,Lara Junqueira Alvarenga,2025-09-03 14:28:20,In Progress > Ready to Homolog > Homolog > QA Approved Hml > Ready To Staging > Staging > QA Approved Staging > Ready for Production > Done
